epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,266883,1.01789,0.74897,1.18549,0.55405,0.41567,0.42136,0.20015,1.93158,1.84384,1.79165,0.000250192,0.000250192,0.000250192
87,269415,0.99586,0.71023,1.16818,0.56553,0.41167,0.41825,0.19259,1.97479,1.87932,1.80538,0.000233523,0.000233523,0.000233523
88,271899,1.0012,0.73639,1.1639,0.57077,0.41781,0.42226,0.19716,1.9471,1.8416,1.78761,0.000216855,0.000216855,0.000216855
89,274422,1.00185,0.72561,1.16255,0.54697,0.41181,0.41829,0.19864,1.91969,1.86407,1.76339,0.000200187,0.000200187,0.000200187
90,276901,0.99679,0.72223,1.16824,0.54758,0.42101,0.42799,0.20198,1.95236,1.84689,1.78061,0.000183518,0.000183518,0.000183518
91,279318,1.50433,1.19412,1.47759,0.57985,0.42071,0.43143,0.21002,1.86073,1.73862,1.69257,0.00016685,0.00016685,0.00016685
92,281733,1.44482,1.1648,1.4414,0.54974,0.43435,0.43389,0.21165,1.87589,1.76618,1.70992,0.000150182,0.000150182,0.000150182
93,284143,1.41745,1.10675,1.41882,0.5523,0.42886,0.43014,0.20939,1.90341,1.78605,1.73109,0.000133513,0.000133513,0.000133513
94,286572,1.40968,1.08329,1.40841,0.57932,0.42313,0.44091,0.21603,1.89246,1.75185,1.72464,0.000116845,0.000116845,0.000116845
95,293675,1.38844,1.07763,1.40384,0.57132,0.43225,0.4484,0.2198,1.8788,1.74263,1.71699,0.000100177,0.000100177,0.000100177
96,297220,1.38187,1.06605,1.38129,0.59689,0.41576,0.44889,0.21639,1.91611,1.77621,1.74887,8.35084e-05,8.35084e-05,8.35084e-05
97,300843,1.38573,1.06717,1.39872,0.58853,0.42706,0.45141,0.21853,1.8916,1.75096,1.72942,6.684e-05,6.684e-05,6.684e-05
98,303225,1.3754,1.04663,1.37905,0.5603,0.43172,0.44938,0.21991,1.88705,1.7444,1.72885,5.01717e-05,5.01717e-05,5.01717e-05
99,309459,1.36969,1.05238,1.38852,0.57269,0.44211,0.45641,0.22373,1.87674,1.73643,1.72272,3.35034e-05,3.35034e-05,3.35034e-05
100,312901,1.35203,1.03348,1.36801,0.5821,0.43899,0.46012,0.22499,1.87668,1.73087,1.72354,1.6835e-05,1.6835e-05,1.6835e-05
